person_id,name,title,organization,type,tickers,age,born,pay,exercised,unexercised
PER-4210,Sesh  Tirumala,Chief Information Officer,,executive,WDC,,,,0,0
PER-4211,Seshasayee  Varadarajan,Senior VP of The Global Products Group,,executive,LRCX,50,1975,1571591,7913904,4147467
PER-4212,Seth  Cohen,Chief Information Officer,,executive,PG,,,,0,0
PER-4213,Seth  Zaslow,Senior VP & Head of Investor Relations,,executive,TKO,,,,0,0
PER-4214,Seth D. Krauss Esq.,Senior Counsel & Administrative Officer,,executive,TKO,55,1970,5656102,0,0
PER-4215,Shadrak W. Kroeger,President of Industrial Solutions Segment,,executive,TEL,56,1969,1786713,6338144,13351894
PER-4216,Shailesh G. Jejurikar,"CEO, President & Director",,executive,PG,57,1968,2118211,0,25970436
PER-4217,Shamim  Mohammad CPA,Executive VP and Chief Information & Technology Officer,,executive,KMX,56,1969,1664186,948742,764327
PER-4218,Shane  Bohnen,"Senior VP, General Counsel, Corporate Secretary & Chief Sustainability Officer",,executive,TECH,50,1975,835661,0,34065
PER-4219,Shane  Hadlock,Chief Client officer & CTO,,executive,PAYC,,,,0,0
PER-4220,Shane  Smith,Executive VP & CFO,,executive,CEG,45,1980,,0,0
PER-4221,Shane A. Berg,Senior Vice President of Human Resources & Administration,,executive,GD,<NA>,<NA>,<NA>,0,0
PER-4222,Shane G. Eddy,President of Pratt & Whitney,,executive,RTX,59,1966,1911284,41528,5699241
PER-4223,Shane R. Kapral,Chief Accounting Officer,,executive,TKO,39,1986,,0,0
PER-4224,Shankh S. Mitra,CEO & Director,,executive,WELL,44,1981,6668335,0,1507758
