symbol,name,title,age,born,pay,exercised,unexercised
BRO,Mr. Kiet  Tran,Chief Technology Officer,<NA>,<NA>,<NA>,0,0
BRO,Mr. P. Barrett Brown,Executive VP & President of Retail Segment (Leave of Absence),52,1973,3415924,0,0
BRO,Mr. Paul M. Gallagher,Principal Accounting Officer & Controller,55,1970,<NA>,0,0
BRO,Mr. R. Andrew Watts CPA,"Executive VP, CFO & Treasurer",56,1969,2783515,0,0
BRO,Mr. Stephen P. Hearn,"President of Retail Segment, Executive VP & COO",<NA>,<NA>,25000,0,0
BRO,Ms. Julie L. Turpin,Executive VP & Chief People Officer,54,1971,<NA>,0,0
BSX,Mr. Adam  Smith,General Manager of Global Sales & Marketing,<NA>,<NA>,<NA>,0,0
BSX,Mr. Arthur Crosswell  Butcher,Executive VP and Group President of MedSurg & Asia Pacific,54,1971,1705126,943181,10180577
BSX,Mr. Jonathan R. Monson,Executive VP & CFO,<NA>,<NA>,<NA>,0,0
BSX,Mr. Joseph M. Fitzgerald,Executive VP & Group President of Cardiology,61,1964,2196309,7456315,38672868
BSX,Mr. Michael F. Mahoney,"Chairman, President & CEO",60,1965,5336644,22397856,86027656
BSX,Mr. Paudie  O'Connor,Executive Vice President of Global Operations,<NA>,<NA>,<NA>,0,0
BSX,Mr. Vance R. Brown J.D.,"Senior VP, General Counsel & Corporate Secretary",55,1970,<NA>,0,0
BSX,Ms. Brenda  Becker,Senior Vice President of Global Government Affairs,65,1960,<NA>,0,0
BSX,Ms. Emily M. Woodworth,"Senior VP, Global Controller & Chief Accounting Officer",47,1978,<NA>,0,0
BSX,Ms. Miriam  O'sullivan,Senior VP & Chief Human Resources Officer,<NA>,<NA>,<NA>,0,0
BX,Mr. John Gary Finley J.D.,Chief Legal Officer,68,1957,5776059,0,0
BX,Mr. Michael S. Chae J.D.,CFO & Vice Chairman,57,1968,5574642,0,0
BX,"Mr. Stephen Allen Schwarzman B.A., M.B.A.","Chairman, CEO & Co-Founder",78,1947,84027074,0,0
BX,Mr. Vikrant  Sawhney J.D.,Chief Administrative Officer & Global Head of Institutional Client Solutions,<NA>,<NA>,8921538,0,0
BXP,Mr. Bryan J. Koop,Executive Vice President of Boston Region,66,1959,2046215,0,0
BXP,Mr. Colin  Joynt,Senior VP & Chief Information Officer,<NA>,<NA>,<NA>,0,0
BXP,Mr. Douglas T. Linde,President & Director,61,1964,2895542,0,0
BXP,Mr. James J. Whalen Jr.,Senior VP & Chief Technology Officer,62,1963,<NA>,0,0
BXP,Mr. Michael E. LaBelle,"Executive VP, Treasurer & CFO",61,1964,1884965,0,0
BXP,Mr. Michael R. Walsh,Senior VP & Chief Accounting Officer,58,1967,<NA>,0,0
BXP,Mr. Mortimer B. Zuckerman,Co-Founder & Chairman Emeritus,87,1938,273972,0,0
BXP,Mr. Owen David Thomas,CEO & Chairman of the Board,63,1962,3519528,0,0
BXP,Ms. Helen  Han,Vice President of Investor Relations,<NA>,<NA>,<NA>,0,0
BXP,Ms. Hilary  Spann,Executive Vice President of New York Region,49,1976,1469779,0,0
C,Mr. Achintya  Mangla,Head of Investment Banking Financing,<NA>,<NA>,<NA>,0,0
C,Mr. Anand  Selvakesari,Chief Operating Officer,57,1968,8183176,0,0
C,Mr. Andrew J. Morton,Head of Markets,63,1962,13488622,0,0
C,Mr. Andrew Mason Sieg,Head of Wealth,57,1968,8534693,0,0
C,Mr. David R. Bailin,Chief Investment Officer & Global Head of Investments,<NA>,<NA>,<NA>,0,0
C,Mr. Mark A.L. Mason,Chief Financial Officer,55,1970,6652700,0,0
C,Mr. Tim  Ryan,Head of Technology & Business Enablement,<NA>,<NA>,<NA>,0,0
C,Mr. Viswas  Raghavan,Executive Vice Chairman & Head of Banking,59,1966,9763474,0,0
C,Ms. Jane Nind Fraser Ph.D.,CEO & Chair of the Board,57,1968,6470700,0,0
C,Ms. Nicole  Giles,Chief Accounting Officer & Controller,53,1972,<NA>,0,0
CAG,Mr. Alexandre O. Eboli,Executive VP & Chief Supply Chain Officer,53,1972,1189576,0,0
CAG,Mr. David S. Marberger CPA,Executive VP & CFO,60,1965,1618375,0,0
CAG,Mr. Jonathan J. Harris,Executive VP and Chief Communications & Networking Officer,57,1968,<NA>,0,0
CAG,Mr. Sean M. Connolly,"President, CEO & Director",60,1965,3866391,0,0
CAG,Mr. Thomas M. McGough,COO & Executive VP,60,1965,1609157,0,0
CAG,Ms. Carey L. Bartell,"Executive VP, General Counsel & Corporate Secretary",51,1974,<NA>,0,0
CAG,Ms. Charisse  Brock,Executive VP & Chief Human Resources Officer,63,1962,987292,67405,237498
CAG,Ms. Melissa  Napier,"Senior VP, Corporate Controller & Principal Accounting Officer",55,1970,<NA>,0,0
CAG,Ms. Noelle  O'Mara,Executive VP and President of Refrigerated & Frozen,46,1979,1209970,0,0
CAG,Ms. Tracy  Schaefer,Senior VP & Chief Information Officer,<NA>,<NA>,<NA>,0,0
CAH,Matt  Sims,Vice President of Investor Relations,<NA>,<NA>,<NA>,0,0
CAH,Mr. Aaron E. Alt J.D.,Chief Financial Officer,53,1972,2232222,0,0
CAH,Mr. Craig  Cowman,President of Biopharma Solutions & Strategic Sourcing,<NA>,<NA>,<NA>,0,0
CAH,Mr. Jason M. Hollar,CEO & Director,52,1973,5544754,0,0
CAH,Mr. Stephen M. Mason,Chief Executive Officer of GMPD segment,54,1971,1387127,382894,0
CAH,Ms. Deborah L. Weitzman,Chief Executive Officer of Pharmaceutical & Specialty Solutions Segment,60,1965,1736640,0,0
CAH,Ms. Jessica L. Mayer,Chief Legal & Compliance Officer,56,1969,1722409,294760,0
CAH,Ms. Mary C. Scherer,Senior VP & Chief Accounting Officer,<NA>,<NA>,<NA>,0,0
CAH,Ms. Patricia M. English CPA,Senior Vice President,45,1980,451344,0,58523
CAH,Ms. Val  Pitteroff,Chief Human Resources Officer,<NA>,<NA>,<NA>,0,0
CARR,Mr. Ajay  Agrawal,Senior VP of Global Services & Chief Business Development Officer,61,1964,1192833,4032357,15393371
CARR,Mr. Bobby  George,Senior VP & Chief Digital Officer,<NA>,<NA>,<NA>,0,0
CARR,Mr. David L. Gitlin,Chairman & CEO,56,1969,4763634,16030812,99800576
CARR,"Mr. Gaurang  Pandya ACCA, B.Com (H)",President of Climate Solutions Americas & Europe Commercial,48,1977,1477833,3806022,1200210
CARR,Mr. Machiel  Duijser,Senior Vice President of Operations,53,1972,<NA>,0,0
CARR,Mr. Michael S. Rednor C.F.A.,Vice President of Investor Relations,<NA>,<NA>,<NA>,0,0
CARR,Mr. Patrick P. Goris,Senior VP & CFO,52,1973,1953109,0,9795669
CARR,Ms. Beril  Yildiz,Controller & Chief Accounting Officer,46,1979,<NA>,0,0
CARR,Ms. Francesca  Campbell,Senior VP & Chief Legal Officer,41,1984,<NA>,0,0
CARR,Ms. Nadia  Villeneuve,Senior VP & Chief Human Resources Officer,52,1973,<NA>,0,0
CAT,Alex  Kapper,Vice President of Investor Relations,<NA>,<NA>,<NA>,0,0
CAT,Mr. Andrew R. J. Bonfield,Chief Financial Officer,63,1962,2679581,3895096,1267940
CAT,Mr. Bob  De Lange,"Group President of Services, Distribution & Digital",55,1970,2474566,20090180,47463224
CAT,Mr. D. James Umpleby III,Executive Chairman of the Board,67,1958,7056284,18831304,26290622
CAT,Mr. Derek R. Owens,Chief Legal Officer & General Counsel,51,1974,<NA>,0,0
CAT,Mr. Joseph E. Creed CPA,CEO & Director,49,1976,3407160,0,11364210
CAT,Mr. William E. Schaupp,VP & Chief Accounting Officer,53,1972,<NA>,0,0
CAT,Ms. Denise C. Johnson,Group President of Resource Industries,59,1966,2634208,0,11491194
CAT,Ms. Jaime  Mineart,Senior VP & CTO,<NA>,<NA>,<NA>,0,0
CAT,Ms. Jamie L. Engstrom,Senior VP & Chief Information Officer,<NA>,<NA>,<NA>,0,0
CB,Mr. Christopher J. Hogan CFA,Senior VP of Chubb Group & Chief Investment Officer,<NA>,<NA>,<NA>,0,0
CB,Mr. Evan G. Greenberg,Chairman & CEO,70,1955,12788077,32450048,75932288
CB,Mr. George  Ohsiek,VP of Chubb Group & Chief Accounting Officer,<NA>,<NA>,<NA>,0,0
CB,Mr. Gordon  Mackechnie,"VP of Chubb Group, Global Head of Tech, Division President of North America Financial Lines & CTO",<NA>,<NA>,<NA>,0,0
CB,Mr. John W. Keogh,"Additional Chairman, North America Insurance, President & COO",60,1965,5581272,4679222,27732116
CB,Mr. Joseph F. Wayland J.D.,"Executive VP, General Counsel & Secretary",67,1958,<NA>,0,0
CB,Mr. Juan Luis Ortega Guarderas,Executive VP of Chubb Group & President of North America Insurance,50,1975,3374858,620616,6021763
CB,Mr. Peter C. Enns C.F.A.,Executive VP & CFO,59,1966,3113469,0,2392045
CB,Ms. Amy  Well,Senior VP of Chubb Group & Chief Marketing and Communications Officer,<NA>,<NA>,<NA>,0,0
CB,Ms. Susan P. Spivak Bernstein,Senior Vice President of Investor Relations,58,1967,<NA>,0,0
CBOE,Mr. Allen L. Wilkinson CPA,Senior VP & Chief Accounting Officer,37,1988,<NA>,0,0
CBOE,Mr. Bo  Chung,Senior Vice President of Global Sales & Index Licensing,<NA>,<NA>,<NA>,0,0
